Operational_Hours,Temperature_C,Vibration_mms,Oil_Level_pct,Remaining_Useful_Life_days,Failure_Within_7_Days
21226,67.33,12.12,61.33,764.0,0
32648,62.52,8.16,90.05,594.0,0
71463,49.3,12.23,64.9,258.0,0
6226,83.18,-2.26,84.43,940.0,0
95129,59.5,13.67,44.76,65.0,0
33860,66.87,16.53,69.82,667.0,0
55914,43.72,14.67,79.35,426.0,0
74920,47.75,6.97,85.75,224.0,0
88243,79.52,8.72,63.5,33.0,0
13433,51.54,3.57,96.53,815.0,0
38670,64.56,11.28,55.45,538.0,0
30397,83.44,8.29,47.45,599.0,0
53847,59.49,5.91,62.25,405.0,0
12631,76.62,11.47,92.67,717.0,0
91403,50.36,11.51,97.27,0.0,1
40389,44.8,2.69,59.3,555.0,0
45898,57.23,13.57,48.27,404.0,0
14441,48.29,16.34,41.08,780.0,0
95852,81.97,10.77,99.63,0.0,1
35248,47.67,17.84,52.55,524.0,0
69531,82.22,8.56,62.78,253.0,0
65311,77.02,3.12,73.91,353.0,0
30952,55.16,6.7,49.15,743.0,0
822,50.69,2.98,45.35,845.0,0
4529,65.93,10.07,70.08,886.0,0
92261,43.9,9.69,57.81,87.0,0
75486,58.29,9.95,46.82,280.0,0
93265,20.88,11.67,74.38,6.0,1
68133,72.46,9.24,46.52,289.0,0
22200,62.32,11.76,79.11,701.0,0
90589,68.55,24.57,78.57,44.0,0
70062,56.23,17.03,70.58,269.0,0
42039,65.39,5.98,89.53,576.0,0
9171,69.08,5.83,29.56,879.0,0
25624,79.92,-4.95,83.01,729.0,0
12301,55.29,16.98,64.65,860.0,0
11315,45.89,4.51,85.71,885.0,0
69173,51.28,9.6,69.17,264.0,0
69605,81.72,6.56,77.03,205.0,0
69211,41.47,10.74,89.23,273.0,0
27314,67.08,13.13,69.89,625.0,0
27144,66.2,8.83,61.81,655.0,0
58810,66.76,8.59,81.13,393.0,0
56099,65.18,11.3,47.49,421.0,0
64234,63.25,16.85,44.72,293.0,0
41249,58.27,9.68,28.1,465.0,0
11520,71.62,11.52,62.5,824.0,0
84142,56.28,14.56,72.26,81.0,0
714,63.72,7.68,86.08,1004.0,0
67018,52.24,17.5,88.57,349.0,0
48877,75.06,8.38,79.55,385.0,0
98705,83.89,7.7,88.39,0.0,1
8511,63.89,12.06,89.91,845.0,0
10067,40.6,15.73,100.0,907.0,0
35040,60.21,15.04,89.94,559.0,0
81659,37.31,16.47,83.69,101.0,0
59411,39.79,7.99,81.18,304.0,0
14924,60.08,4.63,65.22,778.0,0
32165,80.0,7.99,62.8,585.0,0
54025,41.77,2.48,66.96,437.0,0
11842,40.19,15.56,58.12,866.0,0
46053,48.71,25.54,82.9,503.0,0
80471,34.98,15.37,100.0,256.0,0
89359,64.58,8.99,100.0,127.0,0
59566,71.43,15.54,60.53,291.0,0
58635,52.9,17.12,68.21,335.0,0
76863,47.38,9.34,45.57,246.0,0
14789,51.46,8.75,60.92,762.0,0
26449,35.06,7.22,49.71,738.0,0
77398,42.19,-0.59,86.29,193.0,0
41343,60.63,10.01,26.59,541.0,0
24678,101.61,4.81,60.63,759.0,0
34802,58.75,2.87,63.34,620.0,0
26370,67.67,13.54,68.87,737.0,0
21029,77.2,10.87,45.17,722.0,0
50678,67.5,11.62,56.05,517.0,0
86467,70.05,-4.29,73.24,212.0,0
91332,57.28,12.72,100.0,12.0,0
94551,58.8,16.32,72.76,0.0,1
8490,66.48,11.57,87.22,984.0,0
79142,54.79,0.87,68.37,187.0,0
22630,61.07,17.75,67.67,699.0,0
88384,71.73,17.59,100.0,17.0,0
1660,55.31,10.71,55.38,925.0,0
43,56.15,-1.17,100.0,968.0,0
68478,45.09,9.32,71.39,264.0,0
39610,57.67,10.05,92.99,619.0,0
67390,37.27,11.12,90.78,305.0,0
28734,62.3,15.79,51.13,633.0,0
87745,52.65,6.54,98.04,40.0,0
31873,80.07,9.77,100.0,534.0,0
40841,56.89,8.55,47.75,550.0,0
78444,80.64,8.85,82.38,146.0,0
23471,49.71,14.11,77.76,781.0,0
42461,69.21,21.12,47.21,527.0,0
63108,50.76,8.53,61.01,231.0,0
3500,61.44,15.59,65.84,906.0,0
43227,68.38,12.53,76.43,540.0,0
80900,50.97,9.62,52.81,169.0,0
79853,56.33,9.59,42.94,162.0,0
83252,58.38,5.95,67.84,53.0,0
48359,48.06,7.72,64.23,494.0,0
62642,67.52,15.61,94.05,295.0,0
38344,71.69,10.61,74.98,574.0,0
17721,61.18,14.06,76.86,831.0,0
35020,52.34,11.18,70.89,715.0,0
28160,25.19,3.74,81.73,725.0,0
3967,37.72,10.85,76.39,918.0,0
25304,80.73,8.67,50.82,677.0,0
24159,42.85,3.16,49.92,869.0,0
23982,87.29,5.76,88.99,724.0,0
1452,68.48,9.08,99.98,973.0,0
2507,53.98,14.49,74.6,871.0,0
90701,52.53,1.02,69.89,84.0,0
41602,71.18,12.83,78.02,477.0,0
14066,46.27,5.36,59.84,852.0,0
13131,48.14,15.31,83.8,832.0,0
10295,51.64,10.28,69.28,804.0,0
24376,67.43,18.41,36.8,646.0,0
35061,47.2,11.91,78.73,626.0,0
13715,40.68,4.08,87.64,820.0,0
63508,64.77,9.81,79.84,314.0,0
70252,71.12,11.85,58.43,215.0,0
94071,76.34,3.37,51.57,67.0,0
44605,49.85,4.96,76.79,555.0,0
23154,71.21,4.65,81.28,722.0,0
30876,44.27,3.62,39.79,671.0,0
29670,69.71,2.62,59.66,611.0,0
59153,63.72,8.13,55.7,333.0,0
40173,54.7,9.51,56.54,495.0,0
66581,51.25,8.0,67.51,329.0,0
