Installation_Year,Operational_Hours,Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Power_Consumption_kW,Last_Maintenance_Days_Ago,Maintenance_History_Count,Failure_History_Count,AI_Supervision,Error_Codes_Last_30_Days,Remaining_Useful_Life_days,Failure_Within_7_Days,AI_Override_Events,Machine_Type_AGV,Machine_Type_Automated_Screwdriver,Machine_Type_Boiler,Machine_Type_CMM,Machine_Type_CNC_Lathe,Machine_Type_CNC_Mill,Machine_Type_Carton_Former,Machine_Type_Compressor,Machine_Type_Conveyor_Belt,Machine_Type_Crane,Machine_Type_Dryer,Machine_Type_Forklift_Electric,Machine_Type_Furnace,Machine_Type_Grinder,Machine_Type_Heat_Exchanger,Machine_Type_Hydraulic_Press,Machine_Type_Industrial_Chiller,Machine_Type_Injection_Molder,Machine_Type_Labeler,Machine_Type_Laser_Cutter,Machine_Type_Mixer,Machine_Type_Palletizer,Machine_Type_Pick_and_Place,Machine_Type_Press_Brake,Machine_Type_Pump,Machine_Type_Robot_Arm,Machine_Type_Shrink_Wrapper,Machine_Type_Shuttle_System,Machine_Type_Vacuum_Packer,Machine_Type_Valve_Controller,Machine_Type_Vision_System,Machine_Type_XRay_Inspector
2008,28973,63.04,12.97,84.09,57.1,86.37,90.68,300,4,4,1,6,767.0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,10184,37.5,8.83,62.21,88.33,55.73,187.6,119,5,1,0,2,916.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,66489,47.38,2.93,73.73,93.23,59.83,224.75,110,4,4,0,5,345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,41467,41.08,10.97,50.6,18.64,70.71,172.79,134,3,4,0,6,665.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,34027,37.77,12.4,87.97,70.59,75.99,79.9,55,9,6,1,1,674.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2004,2703,79.18,7.64,70.47,61.97,50.6,181.48,203,2,0,0,6,942.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,4706,42.42,11.14,68.84,51.89,72.02,76.86,324,4,1,1,4,825.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,86343,99.75,7.25,74.2,54.16,68.32,172.7,125,5,3,0,1,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,12966,52.6,11.59,86.59,76.4,53.2,203.13,42,5,2,0,4,840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2028,74861,56.24,13.86,68.41,53.24,100.0,143.68,259,4,1,0,3,195.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,17654,41.96,7.13,60.77,75.94,73.87,216.91,64,8,4,0,3,769.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,93925,44.8,13.28,62.43,97.5,90.02,255.8,94,5,0,0,1,98.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,93503,75.7,8.27,78.53,85.55,46.94,203.63,300,2,1,1,6,67.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2029,30429,70.25,5.92,81.01,69.25,46.21,182.82,55,5,2,1,3,670.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,60589,94.61,8.55,86.0,49.49,99.53,107.54,350,8,1,1,6,243.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,60656,66.89,17.62,98.14,47.3,31.82,103.92,168,5,0,0,5,253.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,81235,60.81,6.97,77.36,45.69,52.89,1.27,222,3,1,0,6,221.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,24559,73.13,14.18,86.25,45.09,68.49,99.47,308,6,0,0,5,625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,86755,76.27,-3.09,82.11,81.5,64.49,184.97,57,3,3,1,4,95.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,11205,73.39,5.1,68.17,51.64,100.0,165.76,153,4,0,0,2,794.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,61337,58.5,10.68,71.45,89.04,32.31,177.78,14,6,2,1,1,292.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,2027,68.01,13.44,67.52,62.64,74.9,275.82,4,6,1,1,3,935.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,92304,77.39,13.74,92.3,71.53,56.72,32.99,209,5,1,0,3,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,37476,61.46,21.07,84.3,73.51,37.72,217.43,229,5,2,1,6,481.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,71182,45.51,8.27,77.87,61.88,37.33,192.68,33,6,2,1,2,248.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,94669,51.64,3.63,83.98,62.8,65.27,219.59,239,7,2,1,5,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,66439,50.39,8.87,79.12,58.74,31.47,209.02,76,9,0,0,9,281.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,62501,71.48,3.42,79.75,63.57,80.95,159.88,138,3,4,0,3,356.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2039,28955,64.7,16.66,71.86,55.53,90.52,87.65,33,8,3,0,2,585.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,54427,58.53,21.14,71.56,57.71,89.92,122.51,76,0,1,0,1,341.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,80396,64.79,15.83,76.29,68.79,100.0,327.08,72,6,4,1,4,174.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,80352,63.9,1.19,97.07,35.63,53.48,73.99,33,6,2,0,5,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017,10463,79.02,1.18,83.98,63.24,75.77,178.58,97,8,0,1,4,803.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8563,91.65,6.56,79.81,74.31,45.59,71.65,194,6,4,0,3,866.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,45628,57.16,10.85,75.92,60.57,0.0,138.0,112,1,1,0,7,456.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2036,17153,48.6,22.83,75.45,100.0,29.29,335.07,272,2,0,1,3,798.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,11380,74.34,7.9,73.9,98.46,26.19,319.49,290,3,3,1,4,804.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,92109,66.85,12.14,86.11,77.64,60.52,60.28,246,4,0,0,2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,78594,40.53,2.4,94.15,92.55,48.81,261.66,27,4,2,0,3,274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,64137,35.73,4.39,80.68,72.27,100.0,29.56,172,6,5,0,3,361.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,73605,56.26,6.17,74.28,82.15,47.15,160.34,71,8,2,1,4,170.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2031,92275,66.86,15.7,77.08,43.54,68.88,153.04,215,5,2,0,3,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,75590,65.0,5.36,65.52,54.13,0.0,91.12,80,3,0,0,6,164.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,47226,61.98,10.84,109.06,73.65,66.89,174.49,19,6,2,1,0,465.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,50095,82.84,11.1,83.13,66.26,27.32,130.56,237,8,1,0,3,465.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2004,5100,60.06,11.41,83.29,93.7,29.66,109.33,41,4,5,1,1,926.0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,91166,75.84,11.71,81.96,68.66,34.65,242.08,57,10,4,1,1,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2028,54119,81.82,4.07,68.65,26.3,80.02,186.18,25,5,2,1,2,464.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,3187,57.5,4.14,73.59,50.61,22.44,141.44,120,5,0,0,2,985.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2036,45680,67.14,12.41,70.81,100.0,64.56,124.48,51,4,1,0,1,470.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,11074,57.61,14.29,79.01,56.03,86.03,115.81,345,5,3,1,7,933.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,49941,51.98,8.77,72.42,77.51,45.68,239.61,142,6,4,0,3,507.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,84310,81.52,13.81,64.9,66.8,34.9,338.51,28,2,8,0,5,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020,2218,81.68,14.96,71.85,43.88,94.08,118.18,300,5,3,0,2,845.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2032,56236,56.66,10.8,73.45,55.47,57.42,187.6,237,10,3,1,3,403.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,13014,32.23,1.82,77.95,73.23,43.04,297.57,162,8,2,0,5,817.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,69229,35.8,7.52,77.11,59.76,91.74,29.64,10,5,1,0,5,340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,69972,51.87,4.3,61.41,90.96,56.64,214.03,344,6,0,1,3,191.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,24678,50.29,9.46,86.33,40.0,62.75,230.44,3,2,2,1,7,606.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,28530,62.61,9.72,79.1,96.12,62.91,31.29,44,4,6,0,8,678.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,26596,43.2,18.14,86.95,100.0,90.43,-48.94,93,4,3,0,3,679.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,89944,84.19,19.66,77.08,100.0,90.47,118.89,212,9,4,0,3,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,19008,65.08,8.65,74.35,9.15,79.3,221.94,292,11,0,0,5,838.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2037,74511,68.42,19.18,80.36,52.94,100.0,54.89,174,3,1,0,1,155.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,17439,67.48,7.7,67.74,77.59,55.3,65.32,106,7,3,0,2,763.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,21987,72.36,5.85,79.91,88.58,65.17,208.4,8,7,3,0,4,708.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,65017,55.58,-0.72,61.54,74.49,66.34,218.74,204,3,1,0,3,309.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,63294,53.44,19.9,76.37,77.23,74.73,200.81,249,7,1,1,3,303.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2032,88397,45.98,11.53,65.42,100.0,18.06,204.5,309,6,1,0,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,29637,56.92,4.26,73.57,89.46,54.78,133.55,242,3,1,0,2,596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,66284,73.77,11.58,82.02,53.61,32.9,206.83,107,6,1,0,2,291.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008,69560,55.02,18.04,71.24,87.16,75.46,239.85,6,7,1,1,4,336.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,54862,82.81,14.82,76.9,92.55,51.64,134.63,113,6,4,0,2,304.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,94994,57.03,10.56,78.5,93.99,72.26,212.98,69,3,6,0,2,94.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,34791,48.85,10.93,70.85,62.02,40.64,-13.65,149,6,4,1,2,631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,13065,52.7,11.52,65.78,85.28,59.07,216.21,78,3,1,1,6,776.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,99764,59.14,12.3,83.4,61.53,65.53,146.11,191,5,1,0,2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,57892,49.58,5.36,90.36,81.83,96.0,117.46,174,4,2,1,1,394.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,13080,62.84,5.85,78.98,81.8,42.06,179.02,209,2,2,1,1,799.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,40815,63.01,11.25,67.87,47.23,76.06,147.84,68,6,4,0,1,553.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,4218,59.93,5.98,73.4,59.93,100.0,163.18,249,6,4,0,4,921.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,72043,73.22,15.79,71.86,84.82,78.65,21.78,105,0,0,0,3,160.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,25652,84.36,11.5,63.0,61.47,47.17,191.46,12,3,3,0,2,717.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,31015,70.74,5.08,75.78,41.03,24.5,166.88,114,5,2,0,4,645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,41697,40.44,14.45,74.14,52.79,48.84,249.37,240,3,0,0,4,604.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,12335,74.66,8.73,84.05,65.67,82.62,107.26,71,3,5,0,2,808.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,58981,54.22,16.49,78.74,80.72,74.36,50.75,299,4,4,0,1,328.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2039,46822,52.21,9.64,78.07,77.91,52.52,159.0,44,3,1,0,2,416.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2034,2275,65.69,10.13,76.9,67.14,70.4,224.51,71,4,0,1,2,883.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,8056,49.25,14.02,79.2,46.87,43.8,117.63,320,5,1,0,3,859.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7194,67.87,10.55,76.05,55.79,35.21,153.58,70,3,1,0,3,799.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
